product_id,name_raw,name_cn,name_en
2696884,香蕉手撕面包 Banana Bread,香蕉手撕面包,Banana Bread
2725837,提子奶酪法棍 Raisins Cheese Baguette,提子奶酪法棍,Raisins Cheese Baguette
2742224,黑巧蔓越莓巴旦木恰巴塔 Dark Chocolate Cranberry,黑巧蔓越莓巴旦木恰巴塔,Dark Chocolate Cranberry
2758491,开心果奶酪法棍 Pistachio Cheese Baguette,开心果奶酪法棍,Pistachio Cheese Baguette
2921065,椰青美式 Coconut Americano,椰青美式,Coconut Americano
2921214,生巧抹茶法棍 Chocolate Matcha Baguette,生巧抹茶法棍,Chocolate Matcha Baguette
2923052,浓郁黄油盐面包 Butter Sea Salt Bread,浓郁黄油盐面包,Butter Sea Salt Bread
2975152,抹茶椰椰 Matcha Coconut,抹茶椰椰,Matcha Coconut
3118582,茉莉龙井压扁可颂 Jasmine Longjing Tea Danish,茉莉龙井压扁可颂,Jasmine Longjing Tea Danish
3164346,芋泥酸奶芝士磅蛋糕 Taro Yogurt Cheese Cake,芋泥酸奶芝士磅蛋糕,Taro Yogurt Cheese Cake
3194606,芋泥咸蛋黄恰巴塔 Taro Salted Egg Yolk Ciabatta,芋泥咸蛋黄恰巴塔,Taro Salted Egg Yolk Ciabatta
3221875,黑巧脆皮提拉米苏毛巾卷 Dark Chocolate Tiramisu Crepe Roll,黑巧脆皮提拉米苏毛巾卷,Dark Chocolate Tiramisu Crepe Roll
3234732,黑米吐司 Black Rice Toast,黑米吐司,Black Rice Toast
3304370,香菜牛肉恰巴塔 Beef Coriander Ciabatta,香菜牛肉恰巴塔,Beef Coriander Ciabatta
3335355,9个核桃红豆松松吐司 Walnuts Red Bean Meat Floss Toast,9个核桃红豆松松吐司,Walnuts Red Bean Meat Floss Toast
3339329,黑巧提拉米苏百利甜酒磅蛋糕 Dark Chocolate Baileys Tiramisu Cake,黑巧提拉米苏百利甜酒磅蛋糕,Dark Chocolate Baileys Tiramisu Cake
3356719,大块咸奶酪吐司 Salted Cheese Toast,大块咸奶酪吐司,Salted Cheese Toast
3419194,9.9编织袋,9.9编织袋,
3425331,提拉米苏烤布蕾瑞士卷 Tiramisu Creme Brulee Swiss Roll,提拉米苏烤布蕾瑞士卷,Tiramisu Creme Brulee Swiss Roll
3430092,葡萄朗姆热美式 Grape Rum Hot Americano,葡萄朗姆热美式,Grape Rum Hot Americano
3457399,托特包,托特包,
3457403,耳机包,耳机包,
3458532,大块咸奶酪海盐黄油生吐司 Salted Cheese Sea Salt Butter Toast,大块咸奶酪海盐黄油生吐司,Salted Cheese Sea Salt Butter Toast
3492242,大块咸奶酪马苏里拉双重芝士咸蛋黄火腿吐司 Salted Cheese Mozzarella Double Cheese with Salted Egg Yolk and Ham Toast,大块咸奶酪马苏里拉双重芝士咸蛋黄火腿吐司,Salted Cheese Mozzarella Double Cheese with Salted Egg Yolk and Ham Toast
3518157,牛肉干咸蛋黄恰巴塔 Beef Jerky Salted Egg Yolk Ciabatta,牛肉干咸蛋黄恰巴塔,Beef Jerky Salted Egg Yolk Ciabatta
3518249,草莓抹茶茉莉磅蛋糕 Strawberry Matcha Jasmine Cake,草莓抹茶茉莉磅蛋糕,Strawberry Matcha Jasmine Cake
3549202,提拉米苏黑巧布朗尼 Tiramisu Dark Chocolate Brownie,提拉米苏黑巧布朗尼,Tiramisu Dark Chocolate Brownie
3596008,草莓提拉米苏抹茶布朗尼 Strawberry Tiramisu Matcha Brownie,草莓提拉米苏抹茶布朗尼,Strawberry Tiramisu Matcha Brownie
3623050,有乐岛蓝莓酱 YOLOLAND Blueberry Jam,有乐岛蓝莓酱,YOLOLAND Blueberry Jam
3623054,有乐岛杏子酱 YOLOLAND Apricot Jam,有乐岛杏子酱,YOLOLAND Apricot Jam
3623058,有乐岛树莓酱 YOLOLAND Raspberry Jam,有乐岛树莓酱,YOLOLAND Raspberry Jam
3623059,有乐岛草莓酱 YOLOLAND Strawberry Jam,有乐岛草莓酱,YOLOLAND Strawberry Jam
3696611,提子奶酪恰巴塔 Raisins Cheese Ciabatta,提子奶酪恰巴塔,Raisins Cheese Ciabatta
3696662,伯爵红茶生巧巴斯克 Earl Gray Chocolate Basque,伯爵红茶生巧巴斯克,Earl Gray Chocolate Basque
3705500,黑生巧磅蛋糕 Dark Chocolate Cake,黑生巧磅蛋糕,Dark Chocolate Cake
3774989,浓郁鲜牛乳手撕面包 Milk Bread,浓郁鲜牛乳手撕面包,Milk Bread
3775247,依云矿泉水 Evian Water,依云矿泉水,Evian Water
3850786,红豆奶酪丑包 Red Bean Cheese Bread,红豆奶酪丑包,Red Bean Cheese Bread
3880065,蜡烛,蜡烛,
3945899,贵州抹茶柚子蛋糕 Matcha Yuzu Cake,贵州抹茶柚子蛋糕,Matcha Yuzu Cake
3962255,苦黑巧压扁可颂 Chocolate Danish,苦黑巧压扁可颂,Chocolate Danish
3988142,抹茶生巧磅蛋糕 Matcha Chocolate Cake,抹茶生巧磅蛋糕,Matcha Chocolate Cake
4005694,孔泰奶酪压扁可颂 Comté Cheese Danish,孔泰奶酪压扁可颂 Comté,Cheese Danish
4006752,餐具袋,餐具袋,
4037886,浓厚鲜牛乳压扁可颂 Milk Danish,浓厚鲜牛乳压扁可颂,Milk Danish
4067194,苦巧生贝果 Chocolate Bagel,苦巧生贝果,Chocolate Bagel
4075507,苦咖啡黑巧压扁可颂 Coffee Chocolate Danish,苦咖啡黑巧压扁可颂,Coffee Chocolate Danish
4078797,苦抹碱水贝果 Matcha Brezen Bagel,苦抹碱水贝果,Matcha Brezen Bagel
4078801,泰奶咸法酪蛋糕 Thai Milk Tea Salted Cheese Cake,泰奶咸法酪蛋糕,Thai Milk Tea Salted Cheese Cake
4085399,奶皮子压扁可颂 Milk Skin Danish,奶皮子压扁可颂,Milk Skin Danish
4092461,蓝莓乳酪贝果 Blueberry Cheese Bagel,蓝莓乳酪贝果,Blueberry Cheese Bagel
4113552,咸蛋黄松松芝士压扁可颂 Salted Egg Meat Floss Cheese Danish,咸蛋黄松松芝士压扁可颂,Salted Egg Meat Floss Cheese Danish
4116161,奶皮子蛋挞 Milk Skin Tart,奶皮子蛋挞,Milk Skin Tart
4125383,奶皮子抹茶柚子磅蛋糕 Milk Skin Matcha Yuzu Cake,奶皮子抹茶柚子磅蛋糕,Milk Skin Matcha Yuzu Cake
4130867,杨枝甘露蛋糕 Mango Pomelo Cake,杨枝甘露蛋糕,Mango Pomelo Cake
4140543,草莓咸法酪蛋糕 Strawberry Salted Cheese Cake,草莓咸法酪蛋糕,Strawberry Salted Cheese Cake
4167010,草莓咸法酪压扁可颂 Strawberry Salted Cheese Danish,草莓咸法酪压扁可颂,Strawberry Salted Cheese Danish
4169082,草莓烤布蕾生日蛋糕 Strawberry Creme Brulee Birthday Cake,草莓烤布蕾生日蛋糕,Strawberry Creme Brulee Birthday Cake
4172478,茉莉抹茶蛋糕 Jasmine Matcha Cake,茉莉抹茶蛋糕,Jasmine Matcha Cake
4180530,草莓提拉米苏黑生巧磅蛋糕 Strawberry Tiramisu Chocolate Cake,草莓提拉米苏黑生巧磅蛋糕,Strawberry Tiramisu Chocolate Cake
4182044,泰奶红豆芝士压扁可颂 Thai Milk Red Bean Cheese Danish,泰奶红豆芝士压扁可颂,Thai Milk Red Bean Cheese Danish
4191724,草莓提拉米苏挞 Strawberry Tiramisu Tart,草莓提拉米苏挞,Strawberry Tiramisu Tart
4199590,蓝莓蛋糕 Blueberry Cake,蓝莓蛋糕,Blueberry Cake
4205683,奶皮子黑芝麻巴斯克蛋糕 Milk Skin Black Sesame Basque Cake,奶皮子黑芝麻巴斯克蛋糕,Milk Skin Black Sesame Basque Cake
4214610,草莓酸奶扁泡芙 Strawberry Yogurt Choux,草莓酸奶扁泡芙,Strawberry Yogurt Choux
4223901,开心果树莓挞 Pistachio Raspberry Tart,开心果树莓挞,Pistachio Raspberry Tart
4223904,草莓砖提拉米苏 Strawberry Tiramisu cake,草莓砖提拉米苏,Strawberry Tiramisu cake
4227314,蓝莓酸奶扁泡芙 Blueberry Yogurt Choux,蓝莓酸奶扁泡芙,Blueberry Yogurt Choux
4227324,草莓新年蛋糕 Strawberry New Year Cake,草莓新年蛋糕,Strawberry New Year Cake
4234027,抹茶柚子挞 Matcha Yuzu Tart,抹茶柚子挞,Matcha Yuzu Tart
4234034,九层巧克力蛋糕 Chocolate cake,九层巧克力蛋糕,Chocolate cake
4236304,树莓酸奶扁泡芙 Raspberry Yogurt Choux,树莓酸奶扁泡芙,Raspberry Yogurt Choux
4242920,丹东草莓蜂蜜吐司 Strawberry Honey Toast,丹东草莓蜂蜜吐司,Strawberry Honey Toast
4248314,黑松露芝士挞 Truffle Cheese Tart,黑松露芝士挞,Truffle Cheese Tart
4248324,草莓抹茶布蕾蛋糕 Strawberry Matcha Creme Brulee Cake,草莓抹茶布蕾蛋糕,Strawberry Matcha Creme Brulee Cake
4255579,丹东草莓酸奶挞 Strawberry Yogurt Tart,丹东草莓酸奶挞,Strawberry Yogurt Tart
4255586,草莓奶皮子重芝士蛋糕 Strawberry Milk Skin cake,草莓奶皮子重芝士蛋糕,Strawberry Milk Skin cake
4264163,奶皮子酸奶扁泡芙 Milk Skin Yogurt Choux,奶皮子酸奶扁泡芙,Milk Skin Yogurt Choux
4264165,抹茶草莓春天蛋糕 Matcha Strawberry Spring Cake,抹茶草莓春天蛋糕,Matcha Strawberry Spring Cake
4268820,草莓提拉米苏蜂蜜吐司 Strawberry Tiramisu Honey Toast,草莓提拉米苏蜂蜜吐司,Strawberry Tiramisu Honey Toast
4268851,巧莓大王生日蛋糕 Chocolate Strawberry Birthday Cake,巧莓大王生日蛋糕,Chocolate Strawberry Birthday Cake
4277821,草莓蝴蝶结蜂蜜吐司 Strawberry Honey Toas,草莓蝴蝶结蜂蜜吐司,Strawberry Honey Toas
4277835,巧克力草莓星星千层生日蛋糕 Chocolate Strawberry Crêpes Birthday Cake,巧克力草莓星星千层生日蛋糕 êpes Birthday Cake,Chocolate Strawberry Cr
4284496,黑生巧蜂蜜吐司 Chocolate Honey Toast,黑生巧蜂蜜吐司,Chocolate Honey Toast
4284512,抹茶星星千层 Matcha Crêpes Cake,抹茶星星千层 êpes Cake,Matcha Cr
4289756,抹茶柚子扁泡芙 Matcha Yuzu Choux,抹茶柚子扁泡芙,Matcha Yuzu Choux
4289764,九层抹茶布朗尼蛋糕 Matcha Brownie Cake,九层抹茶布朗尼蛋糕,Matcha Brownie Cake
4294124,意榛滋榛果可可调味酱(15g),意榛滋榛果可可调味酱(15,g)
4296772,黑生巧提拉米苏扁泡芙 Chocolate Tiramisu Choux,黑生巧提拉米苏扁泡芙,Chocolate Tiramisu Choux
4296776,榛好吃可可蛋糕 Hazelnut Chocolate Cake,榛好吃可可蛋糕,Hazelnut Chocolate Cake
4301375,红茶芝士草莓蜂蜜吐司三明治 Black Tea Cheese Strawberry Honey Toast,红茶芝士草莓蜂蜜吐司三明治,Black Tea Cheese Strawberry Honey Toast
4301387,巧克力曲奇蛋糕 Chocolate Chip Cookie Cake,巧克力曲奇蛋糕,Chocolate Chip Cookie Cake
4306830,春节蛋糕 Chinese New Year Cake,春节蛋糕,Chinese New Year Cake
4306836,奶皮子重芝士蜂蜜吐司 Milk Skin Cheese Honey Toast,奶皮子重芝士蜂蜜吐司,Milk Skin Cheese Honey Toast
4308117,黑芝麻酸奶扁泡芙 Black Sesame Yogurt Choux,黑芝麻酸奶扁泡芙,Black Sesame Yogurt Choux
4308130,柠檬蛋糕 Lemon Cake,柠檬蛋糕,Lemon Cake
4318174,提拉米苏焦糖恰巴塔 Tiramisu Caramel Ciabatta,提拉米苏焦糖恰巴塔,Tiramisu Caramel Ciabatta
4318176,布丁巧克力草莓卷 Pudding Chocolate Strawberry Roll,布丁巧克力草莓卷,Pudding Chocolate Strawberry Roll
